id,sentence,referenced_term,correct_answer,surprisal_sentence_mean,surprisal_sentence_std,surprisal_sentence_min,surprisal_sentence_max,surprisal_sentence_sum,surprisal_sentence_middle,surprisal_sentence_median,surprisal_query_mean,surprisal_query_std,surprisal_query_min,surprisal_query_max,surprisal_query_sum,surprisal_query_middle,surprisal_query_median,surprisal_phrase_mean,surprisal_phrase_std,surprisal_phrase_min,surprisal_phrase_max,surprisal_phrase_sum,surprisal_phrase_middle,surprisal_phrase_median,surprisal_context_mean,surprisal_context_std,surprisal_context_min,surprisal_context_max,surprisal_context_sum,surprisal_context_middle,surprisal_context_median,surprisal_position_sentenceMax,surprisal_position_sentenceMin,surprisal_positional_sentenceMax_in_expression,surprisal_positional_sentenceMin_in_expression,surprisal_drops_within_expression,surprisal_spikes_within_expression,surprisal_relational_sumPhrase_sumSentence,surprisal_relational_maxPhrase_maxSentence,surprisal_relational_minPhrase_minSentence,cws_sentence_mean,cws_sentence_std,cws_sentence_min,cws_sentence_max,cws_sentence_sum,cws_sentence_middle,cws_sentence_median,cws_query_mean,cws_query_std,cws_query_min,cws_query_max,cws_query_sum,cws_query_middle,cws_query_median,cws_phrase_mean,cws_phrase_std,cws_phrase_min,cws_phrase_max,cws_phrase_sum,cws_phrase_middle,cws_phrase_median,cws_context_mean,cws_context_std,cws_context_min,cws_context_max,cws_context_sum,cws_context_middle,cws_context_median,cws_position_sentenceMax,cws_position_sentenceMin,cws_positional_sentenceMax_in_expression,cws_positional_sentenceMin_in_expression,cws_drops_within_expression,cws_spikes_within_expression,cws_relational_sumPhrase_sumSentence,cws_relational_maxPhrase_maxSentence,cws_relational_minPhrase_minSentence,vanilla_entropy_sentence_mean,vanilla_entropy_sentence_std,vanilla_entropy_sentence_min,vanilla_entropy_sentence_max,vanilla_entropy_sentence_sum,vanilla_entropy_sentence_middle,vanilla_entropy_sentence_median,vanilla_entropy_query_mean,vanilla_entropy_query_std,vanilla_entropy_query_min,vanilla_entropy_query_max,vanilla_entropy_query_sum,vanilla_entropy_query_middle,vanilla_entropy_query_median,vanilla_entropy_phrase_mean,vanilla_entropy_phrase_std,vanilla_entropy_phrase_min,vanilla_entropy_phrase_max,vanilla_entropy_phrase_sum,vanilla_entropy_phrase_middle,vanilla_entropy_phrase_median,vanilla_entropy_context_mean,vanilla_entropy_context_std,vanilla_entropy_context_min,vanilla_entropy_context_max,vanilla_entropy_context_sum,vanilla_entropy_context_middle,vanilla_entropy_context_median,vanilla_entropy_position_sentenceMax,vanilla_entropy_position_sentenceMin,vanilla_entropy_positional_sentenceMax_in_expression,vanilla_entropy_positional_sentenceMin_in_expression,vanilla_entropy_drops_within_expression,vanilla_entropy_spikes_within_expression,vanilla_entropy_relational_sumPhrase_sumSentence,vanilla_entropy_relational_maxPhrase_maxSentence,vanilla_entropy_relational_minPhrase_minSentence,cis_sentence_mean,cis_sentence_std,cis_sentence_min,cis_sentence_max,cis_sentence_sum,cis_sentence_middle,cis_sentence_median,cis_query_mean,cis_query_std,cis_query_min,cis_query_max,cis_query_sum,cis_query_middle,cis_query_median,cis_phrase_mean,cis_phrase_std,cis_phrase_min,cis_phrase_max,cis_phrase_sum,cis_phrase_middle,cis_phrase_median,cis_context_mean,cis_context_std,cis_context_min,cis_context_max,cis_context_sum,cis_context_middle,cis_context_median,cis_position_sentenceMax,cis_position_sentenceMin,cis_positional_sentenceMax_in_expression,cis_positional_sentenceMin_in_expression,cis_drops_within_expression,cis_spikes_within_expression,cis_relational_sumPhrase_sumSentence,cis_relational_maxPhrase_maxSentence,cis_relational_minPhrase_minSentence
90,The entire auditorium welcomed the guest.,auditorium,audience/ listeners,6.95620855349482,4.825797514335845,0.010528431526507634,14.482680670566495,55.64966842795856,0.6812861385773428,7.243309757864546,6.365925757429948,7.029444169552775,4.129361666528222e-06,33.90944589877446,299.19851059920757,0.9250692455132435,5.153097215982445,7.246604551046501,7.236076119519994,0.010528431526507634,14.482680670566495,14.493209102093003,14.482680670566495,7.246604551046501,8.095034637457642,2.666722435814899,4.00924918651777,11.560415475436553,40.47517318728821,4.00924918651777,7.284333903597154,3.0,2.0,1.0,1.0,0.0,0.0,0.2604365760212072,1.0,1.0,10.749771396308448,6.447535154501802,0.08287912014277923,20.647133374320493,85.99817117046759,2.121010589440975,12.940917755961623,10.242179261867173,9.043656560052229,0.05268115242371568,40.68801995343014,481.38242530775716,3.866534181512114,10.551990994423848,10.365006247231635,10.282127127088858,0.08287912014277923,20.647133374320493,20.73001249446327,20.647133374320493,10.365006247231635,12.629429617312669,2.3960059846375765,8.18755994181492,14.857718691614462,63.14714808656334,8.18755994181492,13.74237678270443,3.0,2.0,1.0,1.0,0.0,0.0,0.24105178298933538,1.0,1.0,3.8676475575193763,2.6080690076731194,0.06338822096586227,7.635335922241211,30.94118046015501,1.90510094165802,3.77229642868042,1.9765681677449622,2.0649601847125343,4.668414476327598e-05,7.635335922241211,92.89870388401323,0.9104375243186951,1.227898359298706,3.3426992259919643,3.279311005026102,0.06338822096586227,6.622010231018066,6.685398451983929,0.06338822096586227,3.3426992259919643,4.470136213302612,2.3104431017532825,1.227898359298706,7.635335922241211,22.35068106651306,2.5440287590026855,5.000564098358154,1.0,3.0,0.0,0.0,1.0,0.0,0.21606798294567833,0.8672847270188341,1.0,8.981265485286713,4.29382146399427,1.079500675201416,15.126075744628906,71.8501238822937,10.023518562316895,9.712032794952393,9.628714882809183,4.574663883434123,-0.5796842575073242,18.183691024780273,442.9208846092224,4.528397560119629,9.553715705871582,12.263311386108398,2.862764358520508,9.40054702758789,15.126075744628906,24.526622772216797,9.40054702758789,12.263311386108398,7.459996509552002,4.402343558219601,1.079500675201416,13.99583625793457,37.29998254776001,5.027377128601074,7.023104667663574,2.0,1.0,1.0,1.0,1.0,0.0,0.3413581139038368,1.0,8.708236357363939
91,World opinion was taken before marriying Jane., World,People around him,8.407951099472314,5.315115825217574,2.2192439155661674,19.970132526778006,84.07951099472314,8.282892291294202,6.724545652057135,6.7196342908892115,7.398575663145429,7.18433857699947e-05,35.201243850979125,329.26208025357136,6.468254047369047,4.044018121667486,15.062756828338289,0.0,15.062756828338289,15.062756828338289,15.062756828338289,15.062756828338289,15.062756828338289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,1.0,0.0,0.17914895852907176,0.7542642397660905,6.787337219980851,13.359984598324587,5.4932137302842445,6.0615761743644185,25.477165795415246,133.59984598324587,13.595843843882259,12.158498287927458,10.730767810087636,9.053331237520522,0.052770861161801914,41.9718825065927,525.8076226942942,13.451002662283951,9.569667616300098,19.831810147579915,0.0,19.831810147579915,19.831810147579915,19.831810147579915,19.831810147579915,19.831810147579915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,1.0,0.0,0.1484418638481584,0.7784150837982441,3.2717249733580003,4.037180042266845,0.9193516561597779,2.7312231063842773,5.94284725189209,40.37180042266846,3.2205421924591064,3.678667902946472,2.201272489891473,1.8683326132674427,0.0006652320735156536,7.633382797241211,107.86235200468218,0.1095515638589859,1.9830673933029175,5.94284725189209,0.0,5.94284725189209,5.94284725189209,5.94284725189209,5.94284725189209,5.94284725189209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.1472029285212464,1.0,2.1758922725868093,6.2586452722549435,3.4762641588516106,1.490279197692871,12.484874725341797,62.58645272254944,12.484874725341797,5.590255498886108,8.756378561258316,5.361855370974586,-1.9863371849060059,23.235107421875,420.30617094039917,14.358865737915039,8.177480220794678,2.890777587890625,0.0,2.890777587890625,2.890777587890625,2.890777587890625,2.890777587890625,2.890777587890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.046188551389957574,0.2315423783967111,1.9397557131347545
92,The Doctor told the nurse to take care of the heart attack..,heart attack,Patient of heart attack,6.688893746979502,6.509346308583186,0.03297120201037817,24.474224916158644,86.95561871073352,5.802766610570982,4.62887783201378,6.40110514727936,7.949557728371646,3.1831197429182656e-05,35.1656749391275,339.25857280580607,5.851795969210989,2.8190114532668367,14.321486312678239,10.152738603480405,4.1687477091978336,24.474224916158644,28.642972625356478,24.474224916158644,14.321486312678239,5.306355561780615,4.549443582219747,0.03297120201037817,13.444136179252224,53.06355561780615,4.62887783201378,4.501296189097129,11.0,7.0,1.0,1.0,0.0,0.0,0.32939760592860784,1.0,126.43602462190063,10.9594192415445,7.740798988942522,0.16185900196928005,31.22766139982489,142.4724501400785,11.280783753446077,9.94019603137562,9.989154259713253,9.930328412836237,0.052718476189435336,41.94105402405685,529.4251757648024,12.409703943529479,7.075423103370083,20.279454727043277,10.948206672781613,9.331248054261662,31.22766139982489,40.55890945408655,31.22766139982489,20.279454727043277,9.185642038243655,5.772607869836563,0.16185900196928005,19.801275197861635,91.85642038243654,9.201780365874502,9.570988198625061,11.0,7.0,1.0,1.0,0.0,0.0,0.28467896364672013,1.0,57.65047319414883,3.207770511507988,2.099254649765582,0.16682325303554535,7.6353325843811035,41.701016649603844,4.517750263214111,3.02547550201416,1.9464943281963538,2.0365705993033054,0.00029856228502467275,7.6353325843811035,103.16419939440675,0.8741535544395447,1.2865819931030273,2.321549415588379,0.8024725914001465,1.5190768241882324,3.1240220069885254,4.643098831176758,3.1240220069885254,2.321549415588379,3.6330163821578028,2.155731627538093,0.16682325303554535,7.6353325843811035,36.330163821578026,1.2922544479370117,3.3512327671051025,1.0,8.0,0.0,0.0,0.0,0.0,0.11134258116992135,0.40915336332290875,9.105905780799993,7.125903239616981,5.016505492926458,-3.6667251586914062,15.840490341186523,92.63674211502075,4.0337748527526855,7.809235572814941,9.792164284449358,5.472567844635543,-3.6667251586914062,21.699241638183594,509.1925427913666,21.699241638183594,10.242601871490479,4.77754020690918,8.444265365600586,-3.6667251586914062,13.221805572509766,9.55508041381836,-3.6667251586914062,4.77754020690918,6.724117136001587,3.09758056569527,0.20843029022216797,10.179062843322754,67.24117136001587,8.594968795776367,7.709516525268555,12.0,11.0,0.0,0.0,1.0,0.0,0.10314568707472964,0.8346841093758335,1.0
93,The canvas is vibrant.,canvas,The painting of the canvas,9.193824731134052,4.982402570252926,2.4273150940938804,16.78791189052645,45.969123655670266,12.502088955119408,7.890318260182117,6.110189710636122,7.7013288856927,7.184145508210135e-05,32.84408807902393,287.17891639989773,16.543222621469962,2.9664129890222664,2.4273150940938804,0.0,2.4273150940938804,2.4273150940938804,2.4273150940938804,2.4273150940938804,2.4273150940938804,10.346573202152324,4.597279083115396,6.361489455748409,16.78791189052645,31.039719606456977,6.361489455748409,7.890318260182117,0.0,1.0,0.0,0.0,1.0,0.0,0.052803162232884386,0.14458707610108637,1.0,13.887225235697278,4.779750798646036,6.155116868010229,20.087491822088687,69.43612617848639,17.580904768331095,12.90936753714121,9.863721145230244,9.645813498934574,0.05277085781703925,39.62538721971481,463.59489382582143,22.669941704646213,7.474801468242829,6.155116868010229,0.0,6.155116868010229,6.155116868010229,6.155116868010229,6.155116868010229,6.155116868010229,15.233368180715022,3.433415097783835,12.703245182915168,20.087491822088687,45.70010454214506,12.703245182915168,12.90936753714121,0.0,1.0,0.0,0.0,1.0,0.0,0.0886443009822931,0.3064154013116717,1.0,4.63684983253479,2.0909040677780077,1.3792736530303955,7.635335922241211,23.18424916267395,4.152229309082031,4.152229309082031,1.7916003694606728,1.949659323994369,0.0006652172887697816,7.635335922241211,84.20521736465162,1.9810373783111572,1.0973072052001953,7.635335922241211,0.0,7.635335922241211,7.635335922241211,7.635335922241211,7.635335922241211,7.635335922241211,3.7988946437835693,1.8732428678874227,1.3792736530303955,5.942853927612305,11.396683931350708,4.074556350708008,4.074556350708008,1.0,4.0,1.0,1.0,1.0,0.0,0.3293328961687449,1.0,5.535765803592095,7.486476421356201,2.89133930355648,4.561549186706543,12.443706512451172,37.432382106781006,4.605048179626465,7.852945804595947,9.861716902774313,4.905244773201882,1.2688274383544922,23.208017349243164,453.6389775276184,8.162141799926758,10.104220867156982,7.969132423400879,0.0,7.969132423400879,7.969132423400879,7.969132423400879,7.969132423400879,7.969132423400879,8.286067167917887,3.232418765514128,4.561549186706543,12.443706512451172,24.858201503753662,7.852945804595947,7.852945804595947,4.0,0.0,0.0,0.0,1.0,0.0,0.21289407659570891,0.6404146879731506,1.7470232364532772
94,The bench ruled in favor of the defendant., The bench,judge,5.146936889053588,5.71174271064579,0.00953465318948036,16.529910840400866,46.32243200148229,0.00953465318948036,2.7669257079795986,5.742652651933494,7.417196457518968,7.184145508210135e-05,35.2012975875204,269.90467464087425,0.002529953806371585,2.7669257079795986,15.208141843722586,1.3217689966782808,13.886372847044305,16.529910840400866,30.416283687445173,13.886372847044305,15.208141843722586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.6566210445615608,1.0,1456.4109014856692,8.550160770561513,6.846967700218234,0.0752851731774916,19.829478545992178,76.95144693505362,0.0752851731774916,7.942308658772051,9.348106617107844,9.394897148901425,0.05277085781703925,41.98589061226717,439.36101100406864,0.059229033776233994,6.944687216184372,19.585708143618398,0.24377040237377834,19.34193774124462,19.829478545992178,39.171416287236795,19.34193774124462,19.585708143618398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.5090406723644474,1.0,256.9156305936131,3.135819892088572,2.254591502555205,0.06691986322402954,7.635335922241211,28.22237902879715,1.566506266593933,2.446584939956665,1.6359870433250066,1.8193490218808652,0.0006652172887697816,7.635335922241211,76.89139103627531,0.01671568490564823,1.4357846975326538,6.789094924926758,0.8462409973144531,5.942853927612305,7.635335922241211,13.578189849853516,7.635335922241211,6.789094924926758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.48111429004616496,1.0,88.80553009675532,7.241652435726589,3.930903889924932,1.2444043159484863,13.510895729064941,65.1748719215393,13.510895729064941,7.038771152496338,9.424004482186358,4.673515467520065,-0.47852659225463867,19.522798538208008,433.5042061805725,7.567292213439941,9.634576797485352,4.250166893005371,0.3119354248046875,3.9382314682006836,4.562102317810059,8.500333786010742,4.562102317810059,4.250166893005371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.13042348278403768,0.33766098186931914,3.1647523379079243
95,This class is far better than the other when it comes to discipline.,class,group of students,4.740653446360608,4.930296656533792,0.008805976441390185,13.290382536325836,66.36914824904851,13.290382536325836,2.327938564062242,5.476631993600516,7.275564596193571,7.18433857699947e-05,35.27057601711427,312.16802363522936,0.31773824887667496,2.9376888239491183,1.7181883041753656,0.0,1.7181883041753656,1.7181883041753656,1.7181883041753656,1.7181883041753656,1.7181883041753656,4.319620810418933,4.689027284395216,0.008805976441390185,13.290382536325836,51.8354497250272,0.21734675698057185,2.303534991520267,7.0,10.0,0.0,0.0,1.0,0.0,0.025888358514530103,0.12928057559510725,195.1161595322322,7.935250114539469,6.563928787625092,0.07124573127033346,18.88978171657349,111.09350160355257,18.88978171657349,6.013474855360468,8.848618413338707,9.255691600788797,0.052770861161801914,42.040465958350985,504.3712495603063,1.5063951022999815,7.236937219341809,4.7900124913791275,0.0,4.7900124913791275,4.7900124913791275,4.7900124913791275,4.7900124913791275,4.7900124913791275,7.397146803050082,6.439574924796817,0.07124573127033346,18.88978171657349,88.76576163660098,0.7614734640973227,6.0054011299910695,7.0,10.0,0.0,0.0,1.0,0.0,0.04311694583606456,0.25357691069433974,67.23227351269642,2.9796144366264343,1.8917546080524108,0.0664522647857666,5.94284725189209,41.71460211277008,3.7920126914978027,3.3089951276779175,1.873668552027084,1.878563898256178,0.0006652321317233145,7.633382797241211,106.79910746554378,0.5210204124450684,1.318013072013855,5.236248016357422,0.0,5.236248016357422,5.236248016357422,5.236248016357422,5.236248016357422,5.236248016357422,2.7234743535518646,1.9051474671328474,0.0664522647857666,5.94284725189209,32.681692242622375,3.034414052963257,2.40768563747406,0.0,11.0,0.0,0.0,1.0,0.0,0.12552554144474148,0.8811008922853099,78.79713405161434,6.726939371653965,3.909092432546214,0.5679247379302979,13.176304817199707,94.17715120315552,3.6488685607910156,6.298396825790405,9.214615200247083,5.543212074539929,-8.569934844970703,23.566852569580078,516.0184512138367,11.657712936401367,8.88990831375122,0.5679247379302979,0.0,0.5679247379302979,0.5679247379302979,0.5679247379302979,0.5679247379302979,0.5679247379302979,7.509624103705089,3.6308383898934538,1.7186415195465088,13.176304817199707,90.11548924446106,10.634988784790039,6.957367181777954,10.0,1.0,0.0,0.0,1.0,0.0,0.006030387739221282,0.04310197326256118,1.0
96,"He said, ""I made some good bread last year and I'll buy with it whatever I want.""",bread,Money,5.555698158577633,3.718413142178149,0.3179174463035622,15.03517587509168,116.66966133013031,4.311603053894428,5.815274628325281,5.7226032888435645,7.406484616072889,7.184280770676202e-05,37.11504386438987,331.91099075292675,3.904561087782387,3.344027507435353,5.90139752396516,0.0,5.90139752396516,5.90139752396516,5.90139752396516,5.90139752396516,5.90139752396516,5.381414114544184,3.844795039640927,0.3179174463035622,15.03517587509168,102.2468681763395,1.6146686848618483,4.311603053894428,14.0,2.0,0.0,0.0,1.0,0.0,0.05058210897918417,0.3925060520071353,18.56267277112636,10.138169910940254,4.86609701350023,1.141669585342616,20.809756447240794,212.90156812974533,9.965192108882352,10.37638690190808,9.564817591956253,9.115060757924358,0.05277086036993306,43.89118918162984,554.7594203334627,8.87513008994231,7.785193404202025,11.51377012967918,0.0,11.51377012967918,11.51377012967918,11.51377012967918,11.51377012967918,11.51377012967918,9.792810559162017,4.953475564555668,1.141669585342616,20.809756447240794,186.06340062407833,4.61017672100731,9.965192108882352,14.0,2.0,0.0,0.0,1.0,0.0,0.05408025046890458,0.5532871160155175,10.085028345765984,3.204075821808406,1.3580197293626535,0.5901723504066467,5.942852973937988,67.28559225797653,0.5901723504066467,2.972607374191284,2.16058553426109,1.7731022769702436,0.0006652272422797978,7.633382320404053,125.31396098714322,3.350010871887207,2.1159170866012573,3.865002155303955,0.0,3.865002155303955,3.865002155303955,3.865002155303955,3.865002155303955,3.865002155303955,3.1919525014726737,1.4161391400950505,0.5901723504066467,5.942852973937988,60.647097527980804,2.215907335281372,2.972607374191284,0.0,10.0,0.0,0.0,1.0,0.0,0.05744174979519139,0.6503613958234675,6.548938039270817,7.024641229992821,4.529487840397587,-1.7518095970153809,17.569665908813477,147.51746582984924,9.85634708404541,7.7436347007751465,9.290603081385294,5.196121791326089,-5.4734907150268555,19.641845703125,529.5643756389618,17.569665908813477,9.533451080322266,5.396467208862305,0.0,5.396467208862305,5.396467208862305,5.396467208862305,5.396467208862305,5.396467208862305,7.005866314235487,4.725318124393199,-1.7518095970153809,17.569665908813477,133.11145997047424,7.7436347007751465,7.7436347007751465,20.0,7.0,0.0,0.0,1.0,0.0,0.03658188661596682,0.3071468311844947,-3.0805101296718855
97,I got a letter from the office yesterday.,letter,Can be all of the above,4.535239340847958,2.944818427717951,0.6973273119590304,9.109542325807885,40.81715406763162,2.067005643166937,5.613839611080411,5.380867202425125,6.957956592618465,7.18433857699947e-05,35.147841089388,269.0433601212562,0.000522688535398037,2.4907080767840357,0.6973273119590304,0.0,0.6973273119590304,0.6973273119590304,0.6973273119590304,0.6973273119590304,0.6973273119590304,5.436117301786522,2.7135845065325044,1.3039584047959634,9.109542325807885,38.052821112505654,9.109542325807885,6.095771622340771,5.0,3.0,0.0,0.0,1.0,0.0,0.017084172767253693,0.07654910499547929,1.0,8.495762071095006,3.921868026048252,2.4268857775817447,13.41517144719864,76.46185863985505,5.916460730480362,10.053253040425268,9.022636173161512,8.74411538118832,0.052770861161801914,41.92064417112668,451.1318086580756,0.053711437122344635,7.075960550903686,2.4268857775817447,0.0,2.4268857775817447,2.4268857775817447,2.4268857775817447,2.4268857775817447,2.4268857775817447,9.731216018827563,3.4694783315819566,4.196148150525613,13.41517144719864,68.11851213179295,13.41517144719864,11.720434672308183,5.0,3.0,0.0,0.0,1.0,0.0,0.03173982192890028,0.18090605752851022,1.0,4.0034164852566185,1.3598962309455196,2.06178879737854,5.94284725189209,36.03074836730957,2.06178879737854,3.51715350151062,2.011412225262029,1.890095176775721,0.0006652320735156536,7.633382797241211,100.57061126310145,0.0040990691632032394,1.62547105550766,5.0672688484191895,0.0,5.0672688484191895,5.0672688484191895,5.0672688484191895,5.0672688484191895,5.0672688484191895,4.128812960215977,1.2890799581756793,2.7276971340179443,5.94284725189209,28.90169072151184,3.163698196411133,3.51715350151062,0.0,4.0,0.0,0.0,1.0,0.0,0.14063734665629885,0.852666850356261,2.45770510289995,7.328196790483263,2.9634439364472374,2.264106273651123,11.456578254699707,65.95377111434937,4.008955478668213,7.877128601074219,8.937555838604363,5.2222536111069555,-4.431766510009766,23.173851013183594,437.94023609161377,11.614280700683594,8.872580528259277,11.456578254699707,0.0,11.456578254699707,11.456578254699707,11.456578254699707,11.456578254699707,11.456578254699707,7.212605340140207,2.6961235027959414,2.264106273651123,10.003639221191406,50.488237380981445,4.846507549285889,7.877128601074219,3.0,7.0,1.0,1.0,1.0,0.0,0.17370618936764837,1.0,5.060088560341605
98,The set was worth millions..,set,Jewelry set,9.519516137070362,4.264766821869838,3.8669736252991593,17.05231995468673,57.11709682242216,5.870495162117089,9.11483313539943,6.63552589925718,7.740926158204543,4.306027082252047e-05,33.437789075388345,298.5986654665731,6.64801089889273e-05,3.281756968033982,8.845182115396929,0.0,8.845182115396929,8.845182115396929,8.845182115396929,8.845182115396929,8.845182115396929,9.721857637905828,5.207991165719023,3.8669736252991593,17.05231995468673,38.88743055162331,17.05231995468673,8.984068485818709,4.0,5.0,0.0,0.0,1.0,0.0,0.15486049900079343,0.5187084302254065,2.2873655143465434,14.387203874434318,4.652432452723647,8.208519567628587,23.250088275398333,86.3232232466059,11.118364921140259,14.175289101038002,10.105550523932385,9.763111198821866,0.052708878868367774,40.20477457105014,454.7497735769573,0.05275855569938392,8.208519567628587,14.997412669676784,0.0,14.997412669676784,14.997412669676784,14.997412669676784,14.997412669676784,14.997412669676784,14.493161261132476,5.6653390989675865,8.208519567628587,23.250088275398333,57.972645044529905,23.250088275398333,13.257018600751492,4.0,5.0,0.0,0.0,1.0,0.0,0.17373555001337904,0.6450475581869523,1.8270545067372588,4.515017847220103,2.232882728548657,1.8389819860458374,7.635335922241211,27.090107083320618,6.276118755340576,4.720116019248962,2.111316537176026,2.2738909627806017,0.0004486636316869408,7.635335922241211,95.00924417292117,0.0006265903357416391,1.3250658512115479,7.635335922241211,0.0,7.635335922241211,7.635335922241211,7.635335922241211,7.635335922241211,7.635335922241211,4.388833194971085,1.8216243148943547,1.8389819860458374,6.276118755340576,17.55533277988434,3.49737811088562,4.720116019248962,1.0,5.0,1.0,1.0,1.0,0.0,0.2818496028368337,1.0,4.151936223507356,6.7535873254140215,3.0496859759864483,2.0500783920288086,11.343997955322266,40.52152395248413,8.970599174499512,6.849993944168091,9.111177513206547,6.250596774914114,-9.158988952636719,24.135717391967773,400.89181058108807,4.209405899047852,9.382696151733398,5.754558563232422,0.0,5.754558563232422,5.754558563232422,5.754558563232422,5.754558563232422,5.754558563232422,6.705384016036987,3.652932632034855,2.0500783920288086,11.343997955322266,26.82153606414795,2.0500783920288086,6.7137298583984375,5.0,4.0,0.0,0.0,1.0,0.0,0.14201239247517602,0.5072778209143236,2.8069943986569057
99,The ballroom glistened with elegance and grace.,ballroom,The place for dancing,6.05413367887253,5.951372633131525,0.06261730167337164,17.219047729330157,66.59547046759782,0.6947839258637347,3.6677571886494995,5.168735781384527,7.355410139560627,7.184537490203192e-05,34.30022257365435,330.7990900086097,0.026818001512677214,2.0957500922737347,10.65121380644189,4.683847324620028,5.967366481821862,15.335061131061918,21.30242761288378,15.335061131061918,10.65121380644189,5.653803194130084,5.76935515253449,0.1410010383809423,17.219047729330157,45.230425553040675,1.9834736772459471,2.8256154329477234,10.0,3.0,0.0,0.0,0.0,0.0,0.31987802568717527,0.8905870621951328,95.2990039869367,9.714966419685876,7.317489773851727,0.25978090057716857,22.1409235910025,106.86463061654463,2.7038736735326543,8.175679901826001,8.639725047737663,9.299951534275799,0.052770864265394526,41.07960715282955,552.9424030552104,0.15626993043709433,6.222029455866254,16.11630842335243,5.097835090256163,11.018473333096264,21.21414351360859,32.23261684670486,21.21414351360859,16.11630842335243,9.296529108657827,6.747877137636685,0.6951698577300214,22.1409235910025,74.37223286926262,6.337753955537292,7.256716928681646,10.0,3.0,0.0,0.0,0.0,0.0,0.3016210008937667,0.9581417607271573,42.41448585564203,2.955283733931455,2.1765308806061188,0.3111567497253418,7.635334014892578,32.508121073246,0.31260257959365845,2.47611665725708,1.5921170182227797,1.7644086546102093,0.0006652479059994221,7.635334014892578,101.8954891662579,0.1066761463880539,1.0349623560905457,5.770961046218872,1.864372968673706,3.906588077545166,7.635334014892578,11.541922092437744,3.906588077545166,5.770961046218872,2.3112602904438972,1.7942467840499492,0.3111567497253418,5.942847728729248,18.490082323551178,2.692453384399414,1.81833016872406,1.0,4.0,1.0,1.0,1.0,0.0,0.35504734544429517,1.0,12.5550484795638,10.977233843369918,6.2329613179475185,-2.3648386001586914,21.72674560546875,120.74957227706909,15.196501731872559,10.594010353088379,11.042716631813654,5.432668861224398,-2.3648386001586914,27.343198776245117,695.6911478042603,15.207365036010742,10.953937530517578,5.508857727050781,7.873696327209473,-2.3648386001586914,13.382554054260254,11.017715454101562,-2.3648386001586914,5.508857727050781,11.319578111171722,4.682502573773452,6.350135326385498,21.72674560546875,90.55662488937378,10.021197319030762,10.30760383605957,4.0,2.0,0.0,0.0,1.0,0.0,0.09124434353125968,0.6159483936191431,1.0
