base_expression,choices,cont_tokens,example,full_prompt,gold,gold_index,input_tokens,instruction,metrics,num_asked_few_shots,num_effective_few_shots,padded,pred_logits,prediction_logits,predictions,sentence_cleaned,specifics,truncated,log_prob,oddballness,confidence
land,[],"[array([array([  2612,     25,    326,    198,    791,   1888,   4320,    374,
                  445,     13, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009])],
       dtype=object)                                                             ]","Is the word 'landed' used metaphorically or literally in the sentence: 'The drug smugglers landed the heroin on the beach of the island .'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.","Is the word 'landed' used metaphorically or literally in the sentence: 'The drug smugglers landed the heroin on the beach of the island .'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.",['l'],[],"[array([128009, 128009, 128009, 128009, 128009, 128000,   3957,    279,
          3492,    364,   1974,    291,      6,   1511,  46450,   2740,
           477,  16280,    304,    279,  11914,     25,    364,    791,
          5623,  41837,   9438,  27212,    279,  42734,    389,    279,
         11573,    315,    279,  13218,    662,   4527,  22559,    364,
            72,      6,    369,  46450,    950,     11,    364,     75,
             6,    369,  24016,     13,    220,  10435,    701,   4320,
          1306,    364,   3081,     25,   6389])                       ]",,{'accuracy_per_sample': array([1.])},0,0,[5],[],[],[' output: l\nThe best answer is L.'],The drug smugglers landed the heroin on the beach of the island .,,[159],-3.6051042756209006,0.4111805260181427,0.4059131443500519
flood,[],"[array([array([  2612,     25,    602,    198,    791,   1888,   4320,    374,
                  364,     72,   4527,    578,   3492,    364,     69,   4659,
                    6,    374,   1511,  46450,   2740,    304,    279,  11914,
                  364,     69,   4659,    279,   3157,    449,  32515,  15653,
                 4527,   1102,   3445,    311,   4662,    477,   8312,    264,
                 3544,  12472,    315,   2555,     11,   4856,   1109,  16280,
                  311,  16891,    477,  92629,    349,    279,   3157,     13,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009])],
       dtype=object)                                                             ]","Is the word 'flood' used metaphorically or literally in the sentence: 'flood the market with tennis shoes .'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.","Is the word 'flood' used metaphorically or literally in the sentence: 'flood the market with tennis shoes .'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.",['i'],[],"[array([128009, 128000,   3957,    279,   3492,    364,     69,   4659,
             6,   1511,  46450,   2740,    477,  16280,    304,    279,
         11914,     25,    364,     69,   4659,    279,   3157,    449,
         32515,  15653,    662,   4527,  22559,    364,     72,      6,
           369,  46450,    950,     11,    364,     75,      6,    369,
         24016,     13,    220,  10435,    701,   4320,   1306,    364,
          3081,     25,   6389])                                       ]",,{'accuracy_per_sample': array([1.])},0,0,[1],[],[],"["" output: i\nThe best answer is 'i'. The word 'flood' is used metaphorically in the sentence 'flood the market with tennis shoes'. It means to sell or supply a large quantity of something, rather than literally to overflow or inundate the market.""]",flood the market with tennis shoes .,,[139],-4.651488251984119,0.4862384796142578,0.569541335105896
radiate,[],"[array([array([ 4815,  3081,    25,   326,  4815, 70869,    25,   578,  3492,
                 364, 70312,   988,     6,   374,  1511, 16280,   304,   279,
               11914,   364,   791,  7160, 12164,   988,  8798,  4527,   578,
                7160, 73880,  8798,  1555,  1202,  6332,   323,   420,  8798,
                 374, 23217,   311,   279, 14932,  3634,    13,   578,  3492,
                 364, 70312,   988,     6,   374,  1511,   311,  7664,   279,
                1920,   315,  8798, 41353,    13,  4815,  9290,    25,   578,
                3492,   364, 70312,   988,     6,   649,  1101,   387,  1511,
               46450,  2740,   311,  7664,   279,  1648,   264,  1732,   477,
                 459,  1665,  6835,  1022,   264,  3738,  4367,   477,  8430,
                  13,  1789,  3187,    11,   364,   791, 79323,  7808, 12164,
                 988, 12410,  4527,   763,   420,  1162,    11,   279,  3492,
                 364, 70312,   988,     6,   374,  1511,   311,  7664,   279,
                1648,   279,  7808,  6835,  1022,   264,  3738,  4367,    11,
                 719,   304])                                                ],
       dtype=object)                                                           ]","Is the word 'radiates' used metaphorically or literally in the sentence: 'The sun radiates heat .'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.","Is the word 'radiates' used metaphorically or literally in the sentence: 'The sun radiates heat .'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.",['l'],[],"[array([128000,   3957,    279,   3492,    364,  70312,    988,      6,
          1511,  46450,   2740,    477,  16280,    304,    279,  11914,
            25,    364,    791,   7160,  12164,    988,   8798,    662,
          4527,  22559,    364,     72,      6,    369,  46450,    950,
            11,    364,     75,      6,    369,  24016,     13,    220,
         10435,    701,   4320,   1306,    364,   3081,     25,   6389])]",,{'accuracy_per_sample': array([1.])},0,0,[0],[],[],"["" \n\noutput: l \n\nExplanation: The word 'radiates' is used literally in the sentence 'The sun radiates heat'. The sun emits heat through its core and this heat is transferred to the surrounding space. The word 'radiates' is used to describe the process of heat emission. \n\nNote: The word 'radiates' can also be used metaphorically to describe the way a person or an object gives off a certain quality or feeling. For example, 'The charismatic leader radiates confidence'. In this case, the word 'radiates' is used to describe the way the leader gives off a certain quality, but in""]",The sun radiates heat .,,[132],-2.285620465874672,0.2318095713853836,0.45323067903518677
climb,[],"[array([array([  2612,     25,    326,    198,    791,   1888,   4320,    374,
                  445,     13, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009])],
       dtype=object)                                                             ]","Is the word 'climb' used metaphorically or literally in the sentence: 'Did you ever climb up the hill behind your house ?'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.","Is the word 'climb' used metaphorically or literally in the sentence: 'Did you ever climb up the hill behind your house ?'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.",['l'],[],"[array([128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
        128000,   3957,    279,   3492,    364,    566,  21495,      6,
          1511,  46450,   2740,    477,  16280,    304,    279,  11914,
            25,    364,   7131,    499,   3596,  26438,    709,    279,
         24898,   4920,    701,   3838,    949,   4527,  22559,    364,
            72,      6,    369,  46450,    950,     11,    364,     75,
             6,    369,  24016,     13,    220,  10435,    701,   4320,
          1306,    364,   3081,     25,   6389])                       ]",,{'accuracy_per_sample': array([1.])},0,0,[8],[],[],[' output: l\nThe best answer is L.'],Did you ever climb up the hill behind your house ?,,[143],-3.154958409070969,0.3385889530181885,0.4963357448577881
tug,[],"[array([array([ 9442,    25,   720,    72,   198, 70869,    25,   763,   279,
               11914,    11,   364,  8100,   259, 20752,   369,  1667,   311,
                1304,   264, 15326,  5496,   518,   279,  3492,   364,    83,
               20752,     6,   374,  1511, 46450,  2740,    13,   364,    51,
               20752,     6,   374,   264, 19120,   430,  3445,   311,  6958,
                 477,  6958,   449,  5457,    11,   719,   304,   420,  2317,
                  11,   433,   374,  1511,   311,  7664,   279,  5149,   477,
               14993,   430,  4423,  9711,  1139,  3339,   264,  5496,    13,
                1102,   374,   539,  8967,   311,   387,  4529, 16280,    11,
                 439,   433,  1053, 34608,   430,  1364,   574, 22655, 23062,
                 477, 23062,   449,  5457,   311,  1304,   264,  5496,    13,
                 578, 11914,   374,  1701,   279,  3492,   364,    83, 20752,
                   6,   311, 20599,   279,  4623,   315,  2653,   990,   323,
               99841,    11,  4856,  1109,   264,  7106,  1957,    13, 15636,
                  11,   279])                                                ],
       dtype=object)                                                           ]","Is the word 'tugged' used metaphorically or literally in the sentence: 'She tugged for years to make a decent living .'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.","Is the word 'tugged' used metaphorically or literally in the sentence: 'She tugged for years to make a decent living .'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.",['i'],[],"[array([128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
        128000,   3957,    279,   3492,    364,     83,  20752,      6,
          1511,  46450,   2740,    477,  16280,    304,    279,  11914,
            25,    364,   8100,    259,  20752,    369,   1667,    311,
          1304,    264,  15326,   5496,    662,   4527,  22559,    364,
            72,      6,    369,  46450,    950,     11,    364,     75,
             6,    369,  24016,     13,    220,  10435,    701,   4320,
          1306,    364,   3081,     25,   6389])                       ]",,{'accuracy_per_sample': array([1.])},0,0,[8],[],[],"["" Output: \ni\nExplanation: In the sentence, 'She tugged for years to make a decent living', the word 'tugged' is used metaphorically. 'Tugged' is a verb that means to pull or pull with force, but in this context, it is used to describe the effort or struggle that someone puts into making a living. It is not meant to be taken literally, as it would imply that she was physically pulling or pulling with force to make a living. The sentence is using the word 'tugged' to convey the idea of hard work and perseverance, rather than a physical action. Therefore, the""]",She tugged for years to make a decent living .,,[140],-3.6721195340156556,0.38909849524497986,0.4187447726726532
cloud,[],"[array([array([  2612,     25,    326,    198,    791,   1888,   4320,    374,
                  445,     13, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009])],
       dtype=object)                                                             ]","Is the word 'clouded' used metaphorically or literally in the sentence: 'The smoke clouded above the houses .'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.","Is the word 'clouded' used metaphorically or literally in the sentence: 'The smoke clouded above the houses .'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.",['l'],[],"[array([128009, 128000,   3957,    279,   3492,    364,  12641,    291,
             6,   1511,  46450,   2740,    477,  16280,    304,    279,
         11914,     25,    364,    791,  16603,   9624,    291,   3485,
           279,  15316,    662,   4527,  22559,    364,     72,      6,
           369,  46450,    950,     11,    364,     75,      6,    369,
         24016,     13,    220,  10435,    701,   4320,   1306,    364,
          3081,     25,   6389])                                       ]",,{'accuracy_per_sample': array([1.])},0,0,[1],[],[],[' output: l\nThe best answer is L.'],The smoke clouded above the houses .,,[141],-4.447280670915331,0.5297698378562927,0.4942455589771271
push,[],"[array([array([ 4815,  3081,    25,   602,  4815, 70869,    25,   763,   279,
               11914,   364,   791, 13734, 15753,  4741,   518,   279,  3492,
                 364,  9254,   291,     6,   374,  1511, 46450,  2740,    13,
                 578, 13734,   374,   539, 16280, 17919,   449,   872,  6206,
                 477, 11977,    11,   719,  4856,   374,  7366,  4741,  4245,
                 311,   279, 22498,  5457,   315,   872, 13162,    13,  1115,
                 374,   459,  3187,   315,   264, 46450,   950,  1005,   315,
                4221,    11,  1405,   264, 24016,  1957,   374,  7633,   304,
                 264,  2536,  2922, 10157,  1648,    13,  4815,  9290,    25,
                1115,  3488,  7612,   279,  1296,  2442,  4506,   311, 24564,
                 279, 11914,   323,  3619,   279,  2317,   304,   902,   279,
                3492,   364,  9254,   291,     6,   374,  1511,    13,  1102,
                1101,  7612,   279,  1296,  2442,  4506,   311, 15641,   279,
                6811,  1990, 24016,   323, 46450,   950,  4221,    13,  4815,
               10267,   757])                                                ],
       dtype=object)                                                           ]","Is the word 'pushed' used metaphorically or literally in the sentence: 'The crowd pushed forward .'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.","Is the word 'pushed' used metaphorically or literally in the sentence: 'The crowd pushed forward .'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.",['l'],[],"[array([128009, 128000,   3957,    279,   3492,    364,   9254,    291,
             6,   1511,  46450,   2740,    477,  16280,    304,    279,
         11914,     25,    364,    791,  13734,  15753,   4741,    662,
          4527,  22559,    364,     72,      6,    369,  46450,    950,
            11,    364,     75,      6,    369,  24016,     13,    220,
         10435,    701,   4320,   1306,    364,   3081,     25,   6389])]",,{'accuracy_per_sample': array([0.])},0,0,[1],[],[],"["" \n\noutput: i \n\nExplanation: In the sentence 'The crowd pushed forward', the word 'pushed' is used metaphorically. The crowd is not literally pushing with their hands or arms, but rather is moving forward due to the collective force of their bodies. This is an example of a metaphorical use of language, where a literal action is described in a non-literal way. \n\nNote: This question requires the test-taker to analyze the sentence and understand the context in which the word 'pushed' is used. It also requires the test-taker to recognize the difference between literal and metaphorical language. \n\nLet me""]",The crowd pushed forward .,,[133],-3.447549521923065,0.3145672678947449,0.2818276584148407
lay,[],"[array([array([ 2612,    25,   602,   198,   791,  1888,  4320,   374,   364,
                  72,  4527,   578,  3492,   364,  6789,     6,   374,  1511,
               46450,  2740,   304,   279, 11914,   364,  6789,   279,  6603,
                 389,   279,  2007,  4527,  1102,  3445,   311,  2035,   477,
                2231,  2555,  1523,    11,  4856,  1109,   311, 22655, 11203,
                 477,  2231,  2555,  1523,    13,  1789,  3187,    11,   364,
                8100, 17551,   279,  2363,   389,   279,  2007,  3238,   763,
                 420, 11914,    11,   364,  6789,     6,   374,  1511,   311,
                3152,   364,   631,   518,  4856,  1109,   311,  3152,   364,
                 998, 48520,   483,   477,  2800,  4527,  1115,   374,   459,
                3187,   315,   264, 46450,   950,  1005,   315,  4221,    11,
                1405,   264,  3492,   477, 17571,   374,  1511,   311, 20599,
                 264,  7438,   430,   374,  2204,   505,  1202, 24016,  7438,
                  13,   763,   420,  1162,    11,   364,  6789,     6,   374,
                1511,   311])                                                ],
       dtype=object)                                                           ]","Is the word 'lay' used metaphorically or literally in the sentence: 'lay the books on the table .'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.","Is the word 'lay' used metaphorically or literally in the sentence: 'lay the books on the table .'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.",['l'],[],"[array([128000,   3957,    279,   3492,    364,   6789,      6,   1511,
         46450,   2740,    477,  16280,    304,    279,  11914,     25,
           364,   6789,    279,   6603,    389,    279,   2007,    662,
          4527,  22559,    364,     72,      6,    369,  46450,    950,
            11,    364,     75,      6,    369,  24016,     13,    220,
         10435,    701,   4320,   1306,    364,   3081,     25,   6389])]",,{'accuracy_per_sample': array([0.])},0,0,[0],[],[],"["" output: i\nThe best answer is 'i'. The word 'lay' is used metaphorically in the sentence 'lay the books on the table'. It means to place or put something down, rather than to physically lay or put something down. For example, 'She laid the book on the table.' In this sentence, 'lay' is used to mean 'put', rather than to mean 'to recline or rest'. This is an example of a metaphorical use of language, where a word or phrase is used to convey a meaning that is different from its literal meaning. In this case, 'lay' is used to""]",lay the books on the table .,,[132],-3.8590244501829147,0.240229070186615,0.6320332884788513
deflate,[],"[array([array([ 4815,  3081,    25,   602,  4815, 70869,    25,   578,  3492,
                 364,   755, 22851,     6,   374,  1511, 46450,  2740,   304,
                 279, 11914,   364,   791, 70580,   711, 22851,  3238,   578,
                3492,   364,   755, 22851,     6,   374,  1511,   311,  7664,
                 279, 70580, 13490,   872,  3805,    11,   719,   433,   374,
                 539,  1511,   311,  7664,   279,  7106,  1180,   315, 13490,
                3805,    13,   578,  3492,   364,   755, 22851,     6,   374,
                 264, 46450,   950,  7645,   430,   374,  1511,   311,  7664,
                 279, 70580, 13490,   872,  3805,    11,  4856,  1109,   279,
                7106,  1180,   315, 13490,  3805,    13,  4815,  9290,    25,
                1115,  3488,  7612,   279,  1296,  2442,  4506,   311,  3619,
                 279,  2317,   315,   279, 11914,   323,   279,  7438,   315,
                 279,  3492,   364,   755, 22851,     6,   304,   430,  2317,
                  13,  1102,  7612,   279,  1296,  2442,  4506,   311, 24564,
                 279, 11914])                                                ],
       dtype=object)                                                           ]","Is the word 'deflated' used metaphorically or literally in the sentence: 'The balloons deflated .'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.","Is the word 'deflated' used metaphorically or literally in the sentence: 'The balloons deflated .'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.",['l'],[],"[array([128009, 128000,   3957,    279,   3492,    364,    755,  22851,
             6,   1511,  46450,   2740,    477,  16280,    304,    279,
         11914,     25,    364,    791,  70580,    711,  22851,    662,
          4527,  22559,    364,     72,      6,    369,  46450,    950,
            11,    364,     75,      6,    369,  24016,     13,    220,
         10435,    701,   4320,   1306,    364,   3081,     25,   6389])]",,{'accuracy_per_sample': array([0.])},0,0,[1],[],[],"["" \n\noutput: i \n\nExplanation: The word 'deflated' is used metaphorically in the sentence 'The balloons deflated.' The word 'deflated' is used to describe the balloons losing their air, but it is not used to describe the physical act of losing air. The word 'deflated' is a metaphorical expression that is used to describe the balloons losing their air, rather than the physical act of losing air. \n\nNote: This question requires the test-taker to understand the context of the sentence and the meaning of the word 'deflated' in that context. It requires the test-taker to analyze the sentence""]",The balloons deflated .,,[132],-4.538830012083054,0.490759015083313,0.500818133354187
paste,[],"[array([array([  9442,     25,    326,    198,    791,   1888,   4320,    374,
                  445,     13, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009])],
       dtype=object)                                                             ]","Is the word 'paste' used metaphorically or literally in the sentence: 'paste the sign on the wall .'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.","Is the word 'paste' used metaphorically or literally in the sentence: 'paste the sign on the wall .'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.",['l'],[],"[array([128000,   3957,    279,   3492,    364,  57968,      6,   1511,
         46450,   2740,    477,  16280,    304,    279,  11914,     25,
           364,  57968,    279,   1879,    389,    279,   7147,    662,
          4527,  22559,    364,     72,      6,    369,  46450,    950,
            11,    364,     75,      6,    369,  24016,     13,    220,
         10435,    701,   4320,   1306,    364,   3081,     25,   6389])]",,{'accuracy_per_sample': array([1.])},0,0,[0],[],[],[' Output: l\nThe best answer is L.'],paste the sign on the wall .,,[134],-4.530272946693003,0.27012550830841064,0.42908555269241333
computerize,[],"[array([array([  2612,     25,    326,     13,  72387,     25,    578,   3492,
                  364,  44211,   1534,      6,    374,   1511,  16280,    304,
                  279,  11914,     13,   1102,   3445,    430,    279,  11240,
                  374,    264,   5780,    430,    649,    387,  56168,    311,
                 2804,   5370,   5865,     13,    578,   3492,    364,  44211,
                 1534,      6,    374,    539,   1511,  46450,   2740,     11,
                  439,    433,    374,    539,   1511,    311,   7664,    264,
                 1732,     11,   2035,     11,    477,   3245,    304,    264,
                 2536,   2922,  10157,   5647,     13,    763,    420,   1162,
                   11,    279,  11240,    374,    264,   5780,    430,    649,
                  387,  56168,    311,   2804,   5370,   5865,     11,    323,
                  279,   3492,    364,  44211,   1534,      6,    374,   1511,
                  311,   7664,   1202,  17357,     13,  15636,     11,    279,
                 4495,   4320,    374,    364,     75,      6,    369,  24016,
                   13, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009])],
       dtype=object)                                                             ]","Is the word 'computerized' used metaphorically or literally in the sentence: 'Please use a computerized disctionary .'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.","Is the word 'computerized' used metaphorically or literally in the sentence: 'Please use a computerized disctionary .'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.",['l'],[],"[array([128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
        128009, 128009, 128000,   3957,    279,   3492,    364,  44211,
          1534,      6,   1511,  46450,   2740,    477,  16280,    304,
           279,  11914,     25,    364,   5618,   1005,    264,   6500,
          1534,    834,    407,    661,    662,   4527,  22559,    364,
            72,      6,    369,  46450,    950,     11,    364,     75,
             6,    369,  24016,     13,    220,  10435,    701,   4320,
          1306,    364,   3081,     25,   6389])                       ]",,{'accuracy_per_sample': array([1.])},0,0,[10],[],[],"["" output: l. Explanation: The word 'computerized' is used literally in the sentence. It means that the dictionary is a machine that can be programmed to perform various functions. The word 'computerized' is not used metaphorically, as it is not used to describe a person, place, or thing in a non-literal sense. In this case, the dictionary is a machine that can be programmed to perform various functions, and the word 'computerized' is used to describe its capabilities. Therefore, the correct answer is 'l' for literal.""]",Please use a computerized disctionary .,,[139],-5.201614007353783,0.45817098021507263,0.47707170248031616
tread,[],"[array([array([  2612,     25,    602,     13,  72387,     25,    763,    279,
                11914,    364,  37576,  20229,  48814,    279,  28585,    518,
                  279,   3492,    364,     83,    888,      6,    374,   1511,
                46450,   2740,     13,    578,   8762,  20229,    527,    539,
                 3604,  11689,    389,    279,  28585,     11,    719,   4856,
                   11,    814,    527,  73219,    449,   1124,     13,    578,
                 3492,    364,     83,    888,      6,    374,   1511,    311,
                 7664,    279,   1180,    315,  73219,     11,    902,    374,
                  264,  56755,   1413,    477,  46450,    950,   1005,    315,
                  279,   3492,     13,    763,    420,   2317,     11,    279,
                 8762,  20229,    527,    539,  22655,  11689,    389,    279,
                28585,     11,    719,   4856,     11,    814,    527,  23387,
                  304,    264,   7106,   1180,    315,  39656,     13,  15636,
                   11,    279,   4495,   4320,    374,    364,     72,      6,
                  369,  46450,    950,     13, 128009, 128009, 128009, 128009,
               128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009])],
       dtype=object)                                                             ]","Is the word 'tread' used metaphorically or literally in the sentence: 'male birds tread the females .'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.","Is the word 'tread' used metaphorically or literally in the sentence: 'male birds tread the females .'. Answer 'i' for metaphorical, 'l' for literal.  Put your answer after 'output: '.",['l'],[],"[array([128000,   3957,    279,   3492,    364,     83,    888,      6,
          1511,  46450,   2740,    477,  16280,    304,    279,  11914,
            25,    364,  37576,  20229,  48814,    279,  28585,    662,
          4527,  22559,    364,     72,      6,    369,  46450,    950,
            11,    364,     75,      6,    369,  24016,     13,    220,
         10435,    701,   4320,   1306,    364,   3081,     25,   6389])]",,{'accuracy_per_sample': array([0.])},0,0,[0],[],[],"["" output: i. Explanation: In the sentence'male birds tread the females', the word 'tread' is used metaphorically. The male birds are not actually walking on the females, but rather, they are mating with them. The word 'tread' is used to describe the act of mating, which is a figurative or metaphorical use of the word. In this context, the male birds are not physically walking on the females, but rather, they are engaging in a physical act of reproduction. Therefore, the correct answer is 'i' for metaphorical.""]",male birds tread the females .,,[136],-6.890108108520508,0.6250784993171692,0.2563874423503876
